word,real_word
beamt,fake
bed,fake
bent,real
bept,fake
blank,fake
bled,real
blent,fake
blew,real
blit,fake
blound,fake
bont,fake
bount,fake
brang,real
bred,real
built,real
cluck,fake
dove,real
drank,real
dreamt,real
excote,fake
fed,real
fent,fake
flew,real
fluck,fake
flung,real
froze,real
glid,fake
grew,real
ground,real
grun,fake
hid,real
kned,fake
knew,real
lank,fake
lant,fake
leapt,real
lent,real
lit,real
loke,fake
meant,real
ned,fake
pang,fake
pept,fake
rang,real
rew,fake
rode,real
rose,real
sang,real
sank,real
screamt,fake
sent,real
shone,real
sid,fake
slew,fake
slid,real
snew,fake
snoze,fake
sode,fake
sole,fake
son,fake
soze,fake
spent,real
spoke,real
sprang,real
spun,real
stole,real
strang,fake
stuck,real
swang,fake
threw,real
throve,fake
tose,fake
wept,real
whone,fake
won,real
wove,real
wrang,real
wrote,real
